,risk
collection_recovery_fee,0.5674858696405173
int_rate,0.035264712106190615
bc_open_to_buy,0.011787476981969618
installment,0.011485899627346814
dti,0.010397423468660856
tot_hi_cred_lim,0.010065905291027261
total_bc_limit,0.010036488009734302
mo_sin_old_rev_tl_op,0.009900547926286458
total_rev_hi_lim,0.009887198652643698
mo_sin_old_il_acct,0.009575241555124169
all_util,0.009558704522804093
avg_cur_bal,0.009516631918753453
revol_util,0.009424753370506795
max_bal_bc,0.009342573481439749
bc_util,0.009180664455462183
tot_cur_bal,0.00905537176494861
annual_inc,0.008918386597964519
revol_bal,0.008614568347668564
il_util,0.00859531254510123
total_il_high_credit_limit,0.008435661683167511
total_bal_il,0.008236356159279016
total_bal_ex_mort,0.008155667721011112
acc_open_past_24mths,0.007438620328803268
mths_since_recent_bc,0.007335563395728435
funded_amnt_inv,0.007038862954593431
mths_since_rcnt_il,0.006896540524159731
loan_amnt,0.006697927990799855
total_acc,0.006683818875075972
funded_amnt,0.006635301731461745
mo_sin_rcnt_rev_tl_op,0.006175265629504112
mths_since_recent_inq,0.00606039378883392
num_il_tl,0.006014612583334696
num_rev_accts,0.005913051680526618
inq_last_12m,0.005500031387453222
open_rv_24m,0.005495524310980455
mo_sin_rcnt_tl,0.005477488328494705
num_bc_tl,0.005389992018086074
pct_tl_nvr_dlq,0.00524597197480447
mths_since_last_delinq,0.005182729070115931
num_sats,0.00494302569165867
open_acc,0.004861674143969596
num_op_rev_tl,0.004720917103250431
num_tl_op_past_12m,0.004690909207848598
percent_bc_gt_75,0.00454782225199535
num_actv_rev_tl,0.004320727156093436
num_rev_tl_bal_gt_0,0.004288968528085834
total_cu_tl,0.004100907924350635
inq_fi,0.004099382302795542
open_act_il,0.004065175560432134
num_bc_sats,0.004035344957221959
mths_since_last_record,0.003986923007615072
num_actv_bc_tl,0.00395099388544546
mths_since_recent_revol_delinq,0.0039138599023540764
mths_since_last_major_derog,0.0038028096387538995
open_il_24m,0.0037573512584861803
inq_last_6mths,0.003590055071995832
tot_coll_amt,0.0035592927994460176
mths_since_recent_bc_dlq,0.0034592317040458547
mort_acc,0.003378926136302843
open_rv_12m,0.0029971739537451793
open_acc_6m,0.002931485460371304
open_il_12m,0.002538861603623509
num_accts_ever_120_pd,0.0022698476983534703
delinq_2yrs,0.0019691169149024675
pub_rec,0.0016870416590585068
pub_rec_bankruptcies,0.0012480317378657287
tax_liens,0.0012086162618104418
num_tl_90g_dpd_24m,0.0009229940141177819
collections_12_mths_ex_med,0.0007324592545552844
delinq_amnt,0.00046878942246390614
chargeoff_within_12_mths,0.0004399464791412481
acc_now_delinq,0.00017573401596841803
num_tl_30dpd,0.0001520574386637596
num_tl_120dpd_2m,8.043345284726539e-05
